,0,1,2,3,4,5,6,7,8,9
0,0.8961361711580381,x11_22_21,0.8972447657368887,x11_22_21,0.8805840275378454,x11_22_21,0.8809381023773828,x11_22_21,0.9135826901510654,x11_22_21
1,0.9666166854096381,se_a00002_002,0.9497033349246403,se_a00002_002,0.9585652680205254,se_a00002_002,0.9479617334190047,se_a00002_002,0.958955076192361,se_a00002_002
2,0.9807502742027295,x6_17_22,0.9669849280501944,x6_9_22,0.9717775474426401,x6_17_22,0.9691154422788606,se_a00002_003,0.9804934362424962,se_a00002_003
3,0.9854221333666542,se_a00002_003,0.9746982200095479,x6_17_22,0.976678567315444,se_a00002_003,0.9755479403155565,x6_9_22,0.9828748598192493,x6_17_22
4,0.9872964305052272,x6_12_22,0.979438041328514,sep_precipitation_inch,0.9792890322085301,nov_precipitation_inch,0.9781537802527308,pct_se_a09001_005,0.9847813180288938,pct_se_a09001_005
5,0.9888791703111334,pct_se_a12001_008,0.9816817840823844,x11_25_21,0.9805622736637363,x6_9_22,0.9790676090526165,x6_17_22,0.9863249554719967,pct_se_a09005_004
6,0.9890874255487526,x6_9_22,0.982657027893337,pct_se_a10008_005,0.9817267457483974,pct_se_a09005_007,0.980759620189905,se_t012_001,0.9878817863975197,x6_12_22
7,0.9895108778652449,se_t012_003,0.9834072154402237,pct_se_a09005_004,0.9822705926011236,ep_groupq,0.981816234739773,pct_se_a10002b_003,0.9887591529784286,pct_se_a10002b_006
8,0.9865814208560679,41p,0.9805565027620542,41p,0.9780093925550564,41p,0.9820089955022488,pct_se_a10008_005,0.9819842997559206,41p
9,,,,,,,0.9825158849146856,ep_groupq,,
10,,,,,,,0.9773613193403299,41p,,
