,0,1,2,3,4,5,6,7,8,9
0,0.5995894711422362,apr_precipitation_inch,0.5662246569731723,min_dist,0.5601653981264637,mar_precipitation_inch,0.5926816426816427,ep_unemp,0.5752810297629448,apr_precipitation_inch
1,0.6283345407711503,sep_precipitation_inch,0.568170182265001,apr_precipitation_inch,0.5745242974238876,pct_se_a12001_004,0.602948402948403,pct_se_a03001_007,0.6410002523928786,pct_se_a03001_007
2,0.6670127988408597,se_t006_001,0.656094272646597,pct_se_a03001_007,0.6000512295081968,apr_precipitation_inch,0.6896893646893647,pct_se_a01001_005,0.7020113770943754,pct_se_a09001_009
3,0.7025839169282782,pct_se_a12001_004,0.6867021639702369,se_t012_002,0.6364607728337237,pct_se_a10008_005,0.7294138294138293,pct_se_a09005_004,0.7076319723532724,pct_se_a09005_007
4,0.7205747404008694,pct_se_a10002b_005,0.71454536145812,pct_se_a12001_004,0.6603849531615925,se_t009_001,0.7633029133029133,apr_precipitation_inch,0.7239404352806414,pct_se_a10002b_008
5,0.7242936488770828,pct_se_a03001_006,0.7177367055771724,pct_se_a10002b_003,0.6695623536299766,se_t006_001,0.7825728325728327,pct_se_a10002b_005,0.7363271011707146,pct_se_a01001_005
6,0.7319246558802222,pct_se_a01001_008,0.7264830363847362,pct_se_a09005_007,0.6881586651053864,pct_se_a09005_004,0.7891716391716391,pct_se_a09005_005,0.5649523365756112,41p
7,0.7326974160830718,pct_se_a12001_008,0.7328913236398389,pct_se_a09001_005,0.6978922716627636,pct_se_a03001_006,0.6423569673569672,41p,,
8,0.735305481767689,pct_se_a10002b_004,0.7381305891187111,pct_se_a09001_008,0.6994072014051522,pct_se_a10002b_007,,,,
9,0.629203895999356,41p,0.5965850911325005,41p,0.7070111241217799,pct_se_a10002b_003,,,,
10,,,,,0.715259074941452,pct_se_a03001_007,,,,
11,,,,,0.7197526346604215,se_t012_003,,,,
12,,,,,0.7223433840749414,pct_se_a09005_010,,,,
13,,,,,0.7223946135831383,se_t012_001,,,,
14,,,,,0.7256074355971897,pct_se_a09005_005,,,,
15,,,,,0.6069452576112413,41p,,,,
