,0,1,2,3,4,5,6,7,8,9
0,0.5868866799204772,pct_se_a12001_004,0.572840909090909,ep_unemp,0.5994901210962398,pct_se_a10002b_005,0.5440887666928516,pct_se_a01001_008,0.575721784776903,min_dist
1,0.5896620278330019,pct_se_a10002b_008,0.5885321969696969,pct_se_a12001_004,0.6001092597650914,ep_unemp,0.5898090519064595,apr_precipitation_inch,0.5848179133858268,pct_se_a12001_004
2,0.48275944333996024,41p,0.6747159090909091,pct_se_a03001_007,0.6102431029773286,pct_se_a09001_006,0.6527282615263762,pct_se_a03001_007,0.642257217847769,pct_se_a03001_007
3,,,0.6841287878787878,min_dist,0.6137758353819539,pct_se_a10002b_007,0.672653936793764,pct_se_a10002b_004,0.6744586614173228,apr_precipitation_inch
4,,,0.6938825757575758,pct_se_a09001_009,0.642146954384048,apr_precipitation_inch,0.6916505529034986,pct_se_a09001_009,0.6924704724409448,pct_se_a10008_005
5,,,0.7097443181818182,apr_precipitation_inch,0.6986342529363562,pct_se_a03001_007,0.6985467399842891,se_t012_003,0.7082103018372703,pct_se_a10002b_005
6,,,0.7097916666666666,se_t009_001,0.7233906947100063,pct_se_a09005_010,0.7019759502084718,pct_se_a09005_005,0.7189140419947507,pct_se_a10002b_004
7,,,0.5214583333333334,41p,0.73459892561231,pct_se_a12001_004,0.7034639555260136,ep_groupq,0.722399934383202,pct_se_a09001_009
8,,,,,0.7409086770463443,ep_groupq,0.7035621487703184,pct_se_a10002b_003,0.5375984251968504,41p
9,,,,,0.7523536374396795,pct_se_a10002b_006,0.5219122001329385,41p,,
10,,,,,0.5763816807793862,41p,,,,
