"","case_ind1","case_ind2"
"1",105.604181209615,100.234477080313
"2",114.677871650376,54.203212772248
"3",81.0175808150369,109.3737341003
"4",66.9822273823346,66.9822273823346
"5",0,146.992702244665
"6",0,39.6000396000396
"7",51.4191690662279,87.4125874125874
"8",0,95.9464812288192
"9",45.1073555061045,0
"10",83.9822873721179,76.3475339746526
"11",159.80912937787,74.2774826685874
"12",55.604098816427,55.604098816427
"13",29.6333926001185,71.9668106002879
"14",83.1129580657348,105.780128447299
"15",53.6552649228706,73.775989268947
"16",80.241488670666,30.5681861602537
"17",68.7894860701291,77.8407342372513
"18",107.731830612414,74.5835750393636
"19",150.051580230704,0
"20",175.443331803827,56.6816918135442
"21",319.488817891374,94.3944234679059
"22",131.315060643683,70.432623436157
"23",58.9766533799723,32.5388432441227
"24",56.4576836218948,45.7038391224863
"25",51.7388446855816,60.1289276075679
"26",139.147138863919,176.088857146375
"27",57.3253623781836,46.4062457347201
"28",9.77822974928619,16.6229905737865
"29",674.76383265857,398.724082934609
"30",245.52005611887,98.8457368790256
"31",19.0323931331126,34.2583076396026
"32",110.960424115399,49.3157440512884
"33",40.9528359838919,68.2547266398198
"34",75.5594303981401,110.43301365882
"35",55.7224079635821,54.777960370979
"36",25.1811102932631,3.87401696819432
"37",30.3686910942295,15.7917193689993
"38",296.993842810576,333.212604128939
"39",71.1751447767149,56.0773867937754
"40",188.312477220265,121.491920787268
"41",33.4261161284049,40.7190869200569
"42",124.349188697366,81.8884901177779
"43",41.1268764137364,0
"44",0,22.1385875581138
"45",0,25.4753840749352
"46",37.1096856279489,53.0138366113556
"47",90.8815510451378,80.7836009290114
"48",45.4667576001819,39.2667452001571
"49",35.0911158974855,51.3056315190823
"50",33.7626006848985,57.8787440312545
"51",20.7518345504799,28.6993456549191
"52",156.251305575748,91.9125326916167
"53",11.2069931637342,22.4139863274683
"54",95.333667837431,95.333667837431
"55",147.973666727064,0
"56",13.2030631106417,66.0153155532084
"57",29.3300667690344,58.6601335380687
"58",33.0727324507813,48.2310681573895
"59",14.5231924211279,74.8502994011976
"60",24.1409833427215,48.281966685443
"61",48.7634099377329,61.2668483833054
"62",116.431738796542,0
"63",58.7518807766712,74.9922380645315
"64",314.856504148234,144.833991908188
"65",24.500796275879,36.7511944138184
"66",28.9212378289791,173.527426973874
"67",169.283507554277,4.23208768885691
"68",59.9340725202278,59.9340725202278
"69",17.749378771743,35.498757543486
"70",274.305555555556,246.180555555556
"71",701.620798433591,1027.95605351898
"72",0,0
"73",502.51256281407,1256.28140703518
"74",333.81020505484,143.061516452074
"75",122.050447518308,264.442636289666
"76",238.515627420004,247.808444072732
"77",118.577075098814,79.0513833992095
"78",0,0
"79",115.719021705135,53.168199161819
"80",252.095114805478,260.611841657014
"81",287.749082799799,575.498165599597
"82",269.272195722419,107.708878288968
"83",144.334856867934,481.116189559779
"84",349.898907835335,369.286446264206
"85",1419.43222710916,1599.36025589764
"86",183.075671277461,335.638730675346
"87",944.757905786642,1390.89358351922
"88",765.462339252909,1806.49112063686
"89",257.939706593584,338.545864904079
"90",47.0976097963028,105.969622041681
"91",0,0
"92",261.134484259394,232.119541563905
"93",0,0
"94",439.6482813749,1119.10471622702
"95",690.846286701209,1381.69257340242
"96",325.047801147228,248.565965583174
"97",232.309040577573,260.130482562911
"98",341.481234414955,319.245247057702
"99",333.853745574173,339.429591011737
"100",475.767336813655,522.048206153504
"101",424.852589025929,476.349872544223
"102",736.997262581596,452.726889871552
"103",118.438506727307,165.81390941823
"104",265.527329249875,254.736797985649
"105",264.868202148166,302.571860816944
"106",611.229310158307,576.971620208431
"107",241.100986461105,300.492991838851
"108",272.910548867843,405.584402395044
"109",316.142629790529,400.017205041077
"110",298.172259346063,415.144258376259
"111",87.0024837805854,99.6318765874445
"112",68.6263296351367,28.5943040146403
"113",66.1342015566974,20.3489850943684
"114",107.316607841267,138.319183439855
"115",102.815423029938,126.459387907903
"116",66.7877751656337,136.247061337893
"117",102.201988293227,65.0376289138716
"118",19.2715359414145,77.0861437656581
"119",56.3777307963354,66.9485553206483
"120",39.5335046451868,9.8833761612967
"121",112.007168458781,112.007168458781
"122",158.064737818707,123.702838292901
"123",148.481078694972,200.650106344556
"124",12.569130216189,12.569130216189
"125",38.3680777593043,29.8418382572366
"126",47.9708337330903,95.9416674661806
"127",89.7291810172933,150.454990392633
"128",77.4617828856885,86.9468991574055
"129",93.8379730997811,102.179126264206
"130",73.0860588342774,91.3575735428467
"131",0,14.2673705236125
"132",52.8122524425667,35.2081682950445
"133",142.7081618091,49.3989790877655
"134",89.6775575960066,149.198060425214
"135",124.188540784646,129.833474456675
"136",320.589885389116,360.663621062756
"137",43.2656510977401,50.3088966252792
"138",27.3747604708459,43.7996167533534
"139",220.628792057363,147.821290678434
"140",41.7982537618428,46.4425041798254
"141",91.7947351277723,85.872494151787
"142",265.111346765642,143.917588244205
"143",240.58162590879,380.700594844679
"144",264.142637023993,403.551251008878
"145",358.873138345595,203.361445062504
"146",34.4187716987909,34.4187716987909
"147",30.1000827752276,18.8125517345173
"148",15.0966183574879,90.5797101449275
"149",219.431915152993,341.338534682433
"150",67.7430281133567,33.8715140566783
"151",15.3562653562654,30.7125307125307
"152",179.459988579819,73.4154498735623
"153",97.8291251281096,144.414422808162
"154",80.4812505967889,121.403920391766
"155",96.5250965250965,247.34555984556
"156",119.803522223553,329.459686114772
"157",90.1588182259519,78.5999953764709
"158",159.897665494084,221.396767607193
"159",14.9231457991345,44.7694373974034
"160",44.5136879590474,144.669485866904
