"","x"
"1",75.1758578102347
"2",80.6328785041705
"3",153.93340354857
"4",178.619273019559
"5",67.4437104416698
"6",128.700128700129
"7",282.805429864253
"8",85.3835658641785
"9",878.089853852168
"10",61.0780271797221
"11",123.795804447646
"12",349.511478274684
"13",131.233595800525
"14",151.114469210427
"15",80.4828973843058
"16",210.156279851744
"17",63.3587371698557
"18",74.5835750393636
"19",281.346712932571
"20",105.265999082296
"21",152.483299448156
"22",69.2388501575781
"23",52.8756202716993
"24",96.7846004946769
"25",100.680995063835
"26",110.825154847369
"27",70.974258182513
"28",132.006101615364
"29",49.0737332842596
"30",191.314329443275
"31",34.2583076396026
"32",715.078288743681
"33",334.448160535117
"34",133.68206916594
"35",88.7780737046901
"36",92.9764072366637
"37",138.329387934215
"38",72.4375226367258
"39",38.8228062418445
"40",36.4475762361803
"41",238.237045860631
"42",47.5155436485872
"43",688.875179930084
"44",204.781934912553
"45",63.2862172808916
"46",238.5622647511
"47",262.546703019287
"48",331.700663401327
"49",259.916265337238
"50",62.7019727005257
"51",148.353540616197
"52",57.6542250520141
"53",100.862938473608
"54",255.895634721525
"55",202.331340218639
"56",290.467388434117
"57",94.8913924880523
"58",147.449265509733
"59",88.2563231745464
"60",498.913655749578
"61",81.2723498962215
"62",710.976787970372
"63",104.129349669222
"64",157.428252074117
"65",208.256768344971
"66",626.62681962788
"67",59.2492276439968
"68",0
"69",0
"70",63.1944444444444
"71",5.43892091808985
"72",0
"73",0
"74",0
"75",0
"76",84.6678850581833
"77",0
"78",0
"79",84.4436104334772
"80",32.3635620358384
"81",115.099633119919
"82",7.69349130635482
"83",0
"84",19.3875384288708
"85",9.99600159936026
"86",0
"87",0
"88",122.473974280465
"89",32.242463324198
"90",11.7744024490757
"91",0
"92",29.0149426954882
"93",0
"94",0
"95",0
"96",19.1204588910134
"97",624.59137257084
"98",30.9715538190308
"99",338.732610332042
"100",24.0660520567218
"101",41.1978268146355
"102",21.0570646451885
"103",66.325563767292
"104",88.5536987221247
"105",55.1416008030879
"106",641.88092748188
"107",118.497554137914
"108",85.7842342838745
"109",70.9707944427717
"110",33.6028651759472
"111",39.7591995771492
"112",11.4377216058561
"113",76.3086941038816
"114",11.9240675379185
"115",36.5406729932185
"116",13.3575550331267
"117",111.493078138066
"118",0
"119",17.6180408738548
"120",88.9503854516703
"121",134.408602150538
"122",20.6171397154835
"123",292.949155263052
"124",138.260432378079
"125",55.4205567634395
"126",62.3620838530174
"127",67.0702969220172
"128",6.32341084781131
"129",389.948910436868
"130",103.53858334856
"131",14.2673705236125
"132",140.832673180178
"133",87.8204072671387
"134",60.3141095335973
"135",11.2898673440587
"136",8.0147471347279
"137",116.716640170648
"138",76.6493293183685
"139",35.3006067291782
"140",27.8655025078952
"141",56.2612892718605
"142",98.4699287986669
"143",23.7937871777925
"144",36.6864773644435
"145",5.98121897242658
"146",252.903148569376
"147",116.637820754007
"148",105.676328502415
"149",359.624527611849
"150",33.8715140566783
"151",6250
"152",0
"153",13.9755893040157
"154",55.9276487198025
"155",6.03281853281853
"156",5.99017611117767
"157",78.5999953764709
"158",46.739317605963
"159",59.6925831965378
"160",11.1284219897619
"161",12.1182743577315
"162",38.6946988262608
"163",25.6607646907878
"164",66.9536107125777
"165",28.1183218985491
"166",27.990296697145
"167",93.5056103366202
"168",40.0721298337007
"169",67.1119990011237
"170",24.8077400148846
"171",132.1728657782
"172",94.665330214946
"173",54.7220203043198
"174",9.72668028401906
"175",76.1324704986677
"176",10.1699953843867
"177",64.6792497207032
"178",57.332874670336
"179",332.079699127791
"180",55.9731328962098
"181",129.25908691381
"182",169.235418555455
"183",35.9551313407501
"184",43.1729584904702
"185",15.8227848101266
"186",14.0574481045874
"187",95.7920313714415
"188",177.147918511957
"189",20.124773596297
"190",8.21220333415455
"191",28.3193551900664
"192",13.9230519329837
"193",78.0216484067113
"194",10.7867107723285
"195",22.8164880239366
"196",57.2514690706946
"197",14.08797943155
"198",39.0976556160463
"199",177.689484866043
"200",110.870890847608
"201",99.1999573429075
"202",56.8850529619459
"203",9.31879601155531
"204",9.81257972721028
"205",231.295472794542
"206",29.8740839143949
"207",93.1127475601369
"208",17.4388188106726
"209",12.680261443936
"210",43.9354652837799
"211",0
"212",173.082248684575
"213",49.0714438754
"214",50.0929260076664
"215",42.1031527241742
"216",92.5782475126681
"217",37.1552159144828
"218",21.2686765566013
"219",155.22884415024
"220",68.9407225760893
"221",73.239077824481
"222",92.748677230475
"223",106.759966809752
"224",172.196894330321
"225",72.2956696074778
"226",65.3453945625567
"227",156.019061459248
"228",110.190616328368
"229",112.923606168938
"230",46.1178640840663
"231",17.2145713016437
"232",0
"233",11.4839569121937
"234",53.3907600476272
"235",47.1339331952356
"236",69.3712998946718
"237",28.8746119974013
"238",1.5364759387868
"239",0
"240",137.925117171999
"241",5.50681008847608
"242",64.7749543147448
"243",74.3764172335601
"244",19.0674734326537
"245",430.790400853464
"246",141.686687611655
"247",533.514065093894
"248",57.0247344785801
"249",335.101926836079
"250",0
"251",231.149370317233
"252",269.637408642589
"253",353.704067596777
"254",54.6149645002731
"255",154.639175257732
"256",12.187690432663
"257",77.1803447388732
"258",65.9957102788319
"259",39.4632991318074
"260",205.378345420705
"261",565.310480727052
"262",0
"263",185.388746817636
"264",1001.32421499447
"265",165.324131076634
"266",142.167683040892
"267",45.9875833524948
"268",231.431378098933
"269",32.0358801858081
"270",31.7783144782001
"271",973.542549536136
"272",365.853658536585
"273",28.998115122517
"274",0
"275",287.36568870833
"276",0
"277",338.171058193603
