FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),% Total Population: Male,% Total Population: Female,% Total Population: Under 5 Years,% Total Population: 5 to 9 Years,% Total Population: 10 to 14 Years,% Total Population: 15 to 17 Years,% Total Population: 18 to 24 Years,% Total Population: 25 to 34 Years,% Total Population: 35 to 44 Years,% Total Population: 45 to 54 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Households:,% Households: Family Households,% Households: Family Households: Married-Couple Family,% Households: Family Households: Other Family,"% Households: Family Households: Other Family: Male Householder, No Wife Present","% Households: Family Households: Other Family: Female Householder, No Husband Present",% Households: Nonfamily Households,% Households: Nonfamily Households: Male Householder,% Households: Nonfamily Households: Female Householder,% Renter-Occupied Housing Units: 1-Person Household,% Renter-Occupied Housing Units: 2-Person Household,% Renter-Occupied Housing Units: 3-Person Household,% Renter-Occupied Housing Units: 4-Person Household,% Renter-Occupied Housing Units: 5-Person Household,% Renter-Occupied Housing Units: 6-Person Household,% Renter-Occupied Housing Units: 7-or-More Person Household,Average Household Size,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,Median Household Income (In 2018 Inflation Adjusted Dollars),Per Capita Income (In 2018 Inflation Adjusted Dollars),Median Gross Rent,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Drove Alone,% Workers 16 Years and Over: Carpooled,% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Motorcycle,% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Other Means,% Workers 16 Years and Over: Worked At Home,% Workers 16 Years and Over: Did Not Work At Home,% Workers 16 Years and Over: Did Not Work At Home: Less than 10 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 10 to 19 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 20 to 29 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 30 to 39 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 40 to 59 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 60 to 89 Minutes,% Workers 16 Years and Over: Did Not Work At Home: 90 or More Minutes,% Workers 16 Years and Over: Worked At Home
1019,25853,46.7061,553.5250727,49.59,50.41,4.66,5.69,5.88,4.22,7.33,9.78,11.28,14.09,15.33,13.25,6.64,1.85,92.82,4.9,0.91,0.21,0,0.35,0.8,10606,69.13,57.16,11.97,2.37,9.61,30.87,15.59,15.27,41.62,25.76,12.41,12.1,5.87,2.24,0,2.41,19.77,38.33,29.01,6.82,3.56,1.92,0.59,41014,23356,606,96.51,83.11,13.39,0.23,0,0,0.3,1.22,1.75,98.25,14.02,24.19,11.84,21.87,17.72,6.26,2.36,1.75
1021,43930,63.40464,692.8514943,49.33,50.67,6.3,7.06,6.53,4.34,7.94,13.27,12.77,12.88,13.14,9.41,4.98,1.37,83.31,9.44,0.28,0.43,0,4.23,2.3,16751,71.2,51.42,19.78,5.77,14.01,28.8,14.09,14.72,28.58,25.04,23.64,14.05,5.06,3.16,0.47,2.6,17.8,44.05,23.99,9.16,3.76,0.9,0.35,45182,24611,684,96.06,83.56,12.49,0,0,0,0.45,1,2.49,97.51,9.92,21.22,15.33,13.84,19.93,14.27,2.99,2.49
1023,13075,14.31359,913.4674848,47.82,52.18,5.13,5.41,5.81,3.92,7.56,10.14,11.06,13.81,15.1,12.6,7.2,2.26,56.75,42.75,0.07,0.1,0,0.06,0.27,5350,65.61,43.42,22.19,4.09,18.09,34.39,16.95,17.44,48.48,22.72,9.75,9.02,5.34,0,4.69,2.41,18.59,38.22,30.21,8.16,3.98,0.4,0.43,34884,22182,533,95.11,82.15,12.96,0,0,0.1,1.45,1.5,1.84,98.16,14.46,22.8,14.58,14.95,15.7,10.76,4.92,1.84
1025,24387,19.69202,1238.420465,47.32,52.68,5.59,5.64,6.52,4.34,8.73,10.63,11.98,13.6,14,10.56,6.5,1.91,53.04,45.82,0.1,0.5,0,0,0.54,9358,64.48,48.01,16.47,4.54,11.93,35.52,15.36,20.16,55.45,19.05,13.07,5.81,3.84,0.69,2.07,2.57,18.82,43.7,24.93,7.95,3.55,0.59,0.46,36127,21111,561,97.52,88.29,9.23,0.15,0,0.12,0.65,0.58,0.98,99.02,21.03,30.92,11.04,13.36,11.45,9.22,2.01,0.98
1027,13378,22.15044,603.9610129,48.32,51.68,5.01,4.87,7.45,3.74,9.52,8.93,12.36,13.63,14.66,11.54,6.42,1.86,83.02,14.78,1.16,0.13,0,0.19,0.72,5236,69.58,51.91,17.67,3.02,14.65,30.42,14.59,15.83,34.69,32.14,15.07,8.64,5.87,2.97,0.62,2.51,24.5,36.25,29.08,5.49,3.81,0.62,0.24,41225,23147,564,95.43,89.9,5.53,0,0,0,0.74,0.57,3.26,96.74,17.87,28.12,15.72,10.71,8.94,10.95,4.44,3.26
1029,14938,26.67002,560.1045009,48.74,51.26,5.5,7.06,6.44,4.02,7.06,11.42,12.21,14.13,13.4,10.83,5.17,2.76,94.18,2.63,0.26,0.02,0,0.84,2.07,5726,67.41,53.77,13.64,4.56,9.08,32.59,13.19,19.4,41.61,18.72,19.73,10.76,7.03,1.94,0.22,2.58,22.63,39.59,24.11,8.88,3.21,1.24,0.34,40188,21989,575,95.76,81.36,14.4,0.02,0,0,0.75,0.15,3.32,96.68,10.51,17.27,17.74,22.2,15.8,5.86,7.28,3.32
1031,51288,75.53616,678.9861142,49.36,50.64,6.2,6.34,7,4.18,8.22,12.62,13.19,13.33,12.6,9.48,5.09,1.77,75.89,17.21,1.2,1.3,0,1.26,3.14,19789,68.64,51.67,16.97,3.77,13.2,31.36,17.34,14.02,34.49,25.88,17.88,13.42,5.11,2.3,0.92,2.56,13.84,27.85,34.89,15.58,6.37,0.89,0.58,53155,27577,782,94.87,86.6,8.27,0,0.37,0.38,0.86,0.86,2.66,97.34,15.13,34.2,22.79,12.47,8.35,2.17,2.23,2.66
1033,54495,91.93668,592.7449486,47.85,52.15,5.68,6,5.85,3.76,7.8,11.92,11.99,13.57,14.15,11.02,6.02,2.23,79.43,15.81,0.67,0.49,0.05,1.33,2.21,21799,67.75,50.14,17.61,5.1,12.51,32.25,13.88,18.38,41.48,27.73,13.26,11.5,3.8,1.58,0.66,2.48,15.57,36.04,29.66,11.84,5.54,0.99,0.36,47558,24918,691,96.62,90.21,6.4,0.15,0.1,0,0.48,0.56,2.09,97.91,13.75,34.54,22.18,14.1,6.88,4.24,2.21,2.09
1035,12514,14.71889,850.200004,48.24,51.76,5.71,7.14,4.57,3.76,8.11,10.29,10.8,12.79,15.19,13.06,6.08,2.49,50.89,47.71,0.45,0.14,0,0.02,0.78,4574,63.12,39.75,23.37,3.21,20.16,36.88,17.47,19.41,40.84,17.38,22.06,16.45,2.06,0,1.21,2.73,19.25,48.77,21.26,7.14,2.63,0.33,0.62,33177,17542,568,95.95,89.45,6.5,0.21,0,0.54,0.85,0.08,2.37,97.63,14.55,32.07,17.16,15.58,12.85,2.24,3.17,2.37
1037,10855,16.67664,650.9106421,50.68,49.32,3.15,3.98,6.65,3.26,7.14,10.67,11.62,14.24,17.48,12.44,7.53,1.85,65.71,34.21,0.08,0,0,0,0,4103,64.93,49.18,15.74,2.97,12.77,35.07,20.03,15.04,52.77,12.99,16.37,14.61,3.25,0,0,2.55,20.35,38.61,29.45,8.58,2.75,0.26,0,38301,22963,554,93.02,83.98,9.04,0.45,0,0,1.55,0.55,4.43,95.57,7.98,24.01,24.13,13.87,14.84,8.36,2.38,4.43
1039,37351,36.24353,1030.556497,48.65,51.35,5.73,6.68,5.72,3.79,7.29,11.5,10.97,13.11,14.73,11.32,6.85,2.31,84.67,12.92,0.16,0.43,0.03,0.19,1.61,15008,67.46,49.28,18.18,4.54,13.64,32.54,13.68,18.86,33.61,29.66,22.04,8.59,4.8,1.05,0.26,2.44,17.13,35.43,32.48,9.6,4.02,0.97,0.35,40601,23071,608,95.57,87.52,8.05,0.09,0.2,0.19,1.04,1.3,1.6,98.4,20.67,31.88,16.78,12.2,7.68,5.01,4.18,1.6
1041,13865,22.77188,608.8649183,49.15,50.85,5.68,6.26,6.67,3.87,7.75,11.3,12.56,13.17,14.41,11.07,5.02,2.24,71.68,23.07,0.79,1.36,0,1.05,2.06,5025,68.14,47.26,20.88,4.6,16.28,31.86,13.03,18.83,38.22,23.63,24.16,6.31,5.7,1.6,0.38,2.73,21.61,38.79,24.04,11.37,3.6,0.36,0.23,39812,23353,518,92.57,81.73,10.84,0.54,0.05,0.09,1.74,0.76,4.24,95.76,18.49,19.51,16.18,18.7,11.76,8.58,2.54,4.24
1043,82313,112.0239,734.7806337,49.28,50.72,6.05,5.75,6.8,3.96,7.93,12.35,12.36,13.38,13.43,10.64,6.01,1.34,95.24,1.21,0.42,0.41,0,0.96,1.76,30730,69.32,55.27,14.05,3.85,10.2,30.68,13.42,17.25,34.41,29.8,17.05,10.98,5.7,1.91,0.14,2.64,18.19,35.63,32.44,8.82,3.63,1,0.3,42558,22980,685,96.83,87.57,9.26,0.1,0.02,0.02,0.59,0.34,2.09,97.91,17.22,30.47,17.12,9.05,11.66,9.48,2.91,2.09
1045,49255,87.78279,561.1008792,49.2,50.8,6.56,6.42,6.39,3.99,8.87,14.47,11.81,12.49,12.89,9.3,5.07,1.75,72.86,19.79,0.77,1.29,0.01,1.92,3.36,18670,67.41,48.76,18.65,3.65,15,32.59,14.57,18.01,30.1,25.58,19.8,12.27,8.96,2.4,0.89,2.57,14.18,32.72,36.06,11.2,4.64,0.79,0.42,45960,23837,725,92.83,85.68,7.15,0.44,0.13,0.19,2.65,0.74,3.01,96.99,16.49,36.19,19,14.23,7.24,1.65,2.19,3.01
1047,40029,40.89859,978.7380019,46.09,53.91,6.19,7.1,6.7,4.44,9.12,11.68,11.13,12.33,14.57,9.98,5.45,1.32,28.12,70.47,0.02,0.56,0.06,0.06,0.7,16336,64.67,33.99,30.68,6.07,24.61,35.33,16.63,18.7,38.03,26.14,13.37,10.98,8.39,1.58,1.52,2.41,19.3,35.22,30.36,8.65,5.12,0.99,0.36,31602,18910,623,95.55,86.38,9.18,0,0,0.24,1.45,1.3,1.45,98.55,19.02,40.06,13.59,9.52,8.23,5.8,2.32,1.45
1049,71200,91.62285,777.0987665,49.58,50.42,5.97,6.9,7.23,4.44,8.21,12.07,12.66,13.2,12.99,9.9,4.96,1.46,85.63,1.41,1.31,0.2,0.87,8.29,2.29,26132,70.46,52.72,17.74,5.68,12.06,29.54,14.99,14.55,38.28,20.91,15.32,12.04,8.66,2.88,1.91,2.69,25.89,33.33,28.07,7.43,3.81,0.9,0.57,39233,21004,619,95.98,85.66,10.31,0.05,0.14,0.03,0.95,0.24,2.61,97.39,13.18,32.25,21.33,14.44,9.48,5.14,1.56,2.61
