,0,1,2,3,4,5,6,7,8,9
0,0.7219662942915276,x11_15_21,0.702318761508559,pct_se_a09005_004,0.7120595649076662,x11_15_21,0.7129101477618427,pct_se_a09005_004,0.7260441916184444,pct_se_a03001_006
1,0.8299614828464306,pct_se_a09005_007,0.7521039350746778,x11_15_21,0.8070579209819716,se_t012_001,0.763961321164711,x11_26_21,0.7644071121323788,x11_26_21
2,0.8606216489436574,pct_se_a10002b_003,0.8490622655663915,se_t016_004,0.8534851224724642,pct_se_a09001_005,0.7724426879617556,pct_se_a03001_006,0.7745022488125428,x11_25_21
3,0.8723943337556145,pct_se_a03001_006,0.8831548796289981,se_t006_001,0.868116061154036,se_t016_004,0.8087991634072142,x11_15_21,0.7859494752770734,x11_15_21
4,0.8894775231294867,pct_se_a09001_005,0.8888222055513879,pct_se_a09005_007,0.878609786837635,pct_se_a10002b_003,0.8721208170360715,se_t016_004,0.8603914755292765,se_t012_002
5,0.8970913790676545,se_t012_002,0.8936643251722022,pct_se_a10002b_004,0.8953024823277987,pct_se_a03001_007,0.8930627987831379,se_t012_001,0.891769766431744,pct_se_a10002b_003
6,0.9031632692233867,pct_se_a12001_008,0.8959762667939712,pct_se_a12001_008,0.8990972108060715,pct_se_a03001_008,0.9023590286831813,pct_se_a03001_008,0.900807050482689,pct_se_a09001_005
7,0.9100861197486787,pct_se_a03001_008,0.8984314260383277,pct_se_a10002b_003,0.9051865855663324,pct_se_a10002b_005,0.9091495545415037,pct_se_a09001_005,0.9124154068178951,se_t009_001
8,0.8288290017531063,41p,0.8443633635681647,41p,0.8498479368732532,41p,0.91050086918731,pct_se_a10002b_004,0.9146011685418447,se_t012_003
9,,,,,,,0.9135973489787049,ep_groupq,0.9191268162138683,pct_se_a03001_008
10,,,,,,,0.917916123424598,jul_precipitation_inch,0.9225035378515083,pct_se_a09001_009
11,,,,,,,0.9227849304650153,se_t012_002,0.9275476033683149,pct_se_a12001_008
12,,,,,,,0.9244010756192961,x11_25_21,0.8677824326407084,41p
13,,,,,,,0.9265468817905259,pct_se_a10002b_007,,
14,,,,,,,0.9276537375054326,pct_se_a10002b_006,,
15,,,,,,,0.8474100934376358,41p,,
